企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比,富豪占比,财富集中度
投资、有色金属,1,110.0,110.0,李明,0.05,0.09,110.0
SaaS解决方案,1,110.0,110.0,赵绪龙,0.05,0.09,110.0
矿产、化工,1,110.0,110.0,贺正刚,0.05,0.09,110.0
信息、金融、投资,1,110.0,110.0,严健军,0.05,0.09,110.0
畜牧业、教育,2,108.0,54.0,王德根,0.05,0.18,54.0
房地产、矿产,1,105.0,105.0,张毓强,0.05,0.09,105.0
电子部件,1,105.0,105.0,王明旺,0.05,0.09,105.0
智能芯片,1,105.0,105.0,余凯,0.05,0.09,105.0
制药,1,105.0,105.0,柯尊洪,0.05,0.09,105.0
智能机器人,1,105.0,105.0,昌敬,0.05,0.09,105.0
钢铁、投资,1,105.0,105.0,董才平,0.05,0.09,105.0
钢铁贸易,1,105.0,105.0,何旗,0.05,0.09,105.0
农副食品加工业,1,105.0,105.0,陈先保,0.05,0.09,105.0
旅游、房地产,1,105.0,105.0,黄巧灵,0.05,0.09,105.0
芯片,2,100.0,50.0,孙洪军,0.05,0.18,50.0
医疗用品,1,100.0,100.0,李建全,0.05,0.09,100.0
家居建材,1,100.0,100.0,汪林朋,0.05,0.09,100.0
床垫,2,100.0,50.0,林集永,0.05,0.18,50.0
服装与配饰,1,100.0,100.0,邓耀,0.05,0.09,100.0
房地产、建筑工程,1,100.0,100.0,胡应湘,0.05,0.09,100.0
电竞游戏,1,100.0,100.0,应书岭,0.05,0.09,100.0
集成电路,1,100.0,100.0,励民,0.05,0.09,100.0
饲料、种业,1,100.0,100.0,邵根伙,0.05,0.09,100.0
专用设备制造业,1,100.0,100.0,田明,0.05,0.09,100.0
生活服务平台,1,100.0,100.0,程维,0.05,0.09,100.0
金矿,1,100.0,100.0,李金阳,0.05,0.09,100.0
金融、医院,1,100.0,100.0,吴东进,0.05,0.09,100.0
食用油,1,100.0,100.0,孙孟全,0.05,0.09,100.0
钛白粉、磷化工,1,100.0,100.0,李家权,0.05,0.09,100.0
宠物医院,1,95.0,95.0,彭永鹤,0.05,0.09,95.0
互联网医院,1,95.0,95.0,何涛,0.05,0.09,95.0
太阳能设备,1,95.0,95.0,吴美蓉,0.05,0.09,95.0
文化娱乐,1,95.0,95.0,周镇科,0.05,0.09,95.0
模拟芯片,1,95.0,95.0,张世龙,0.05,0.09,95.0
汽车零售,1,95.0,95.0,苏纯兴,0.05,0.09,95.0
原料药,1,95.0,95.0,谢菊华,0.05,0.09,95.0
新能源、信息科技、投资,1,95.0,95.0,昝圣达,0.05,0.09,95.0
金融,1,95.0,95.0,吴东亮,0.05,0.09,95.0
液态气体,1,95.0,95.0,乔志涌,0.05,0.09,95.0
芯片、矿机,1,95.0,95.0,吴忌寒,0.05,0.09,95.0
医疗保健,1,95.0,95.0,陈得福,0.05,0.09,95.0
旅游,1,90.0,90.0,苏志刚,0.04,0.09,90.0
农业,1,90.0,90.0,傅光明,0.04,0.09,90.0
稀散金属,1,90.0,90.0,朱世会,0.04,0.09,90.0
传媒,1,90.0,90.0,王文杉,0.04,0.09,90.0
乳制品,1,90.0,90.0,潘刚,0.04,0.09,90.0
宠物食品,1,90.0,90.0,秦华,0.04,0.09,90.0
轮胎、输送带、电力,1,90.0,90.0,牛宜顺,0.04,0.09,90.0
化纤、房地产,1,90.0,90.0,陈士良,0.04,0.09,90.0
激光设备,1,90.0,90.0,高云峰,0.04,0.09,90.0
控制电机,1,90.0,90.0,常建鸣,0.04,0.09,90.0
石英制品,1,85.0,85.0,陈士斌,0.04,0.09,85.0
智能家电,1,85.0,85.0,俞浩,0.04,0.09,85.0
数据服务,1,85.0,85.0,陆风,0.04,0.09,85.0
珠宝首饰,1,85.0,85.0,张国涛,0.04,0.09,85.0
电气设备制造、太阳能,1,85.0,85.0,徐广福,0.04,0.09,85.0
计算机服务、投资,1,80.0,80.0,杨元庆,0.04,0.09,80.0
钢铁、冶金、机械,1,80.0,80.0,许庆奎,0.04,0.09,80.0
光学光电,1,80.0,80.0,孙清焕,0.04,0.09,80.0
光伏电池,1,80.0,80.0,龙大强,0.04,0.09,80.0
钒钛磁铁矿,1,80.0,80.0,罗阳勇,0.04,0.09,80.0
汽车配饰,1,80.0,80.0,唐敖齐,0.04,0.09,80.0
化工、钢铁,1,80.0,80.0,阮水龙,0.04,0.09,80.0
房地产、工业制造,1,80.0,80.0,江南,0.04,0.09,80.0
电气设备、房地产,1,80.0,80.0,陈建成,0.04,0.09,80.0
香料、酒业,1,80.0,80.0,刘晓东,0.04,0.09,80.0
医疗器械制造、销售,1,80.0,80.0,陶悦群,0.04,0.09,80.0
不锈钢,1,80.0,80.0,高兴江,0.04,0.09,80.0
电池、投资,1,80.0,80.0,周庆治,0.04,0.09,80.0
汽车配件,1,80.0,80.0,成三荣,0.04,0.09,80.0
地产、贸易,1,80.0,80.0,孙勇坚,0.04,0.09,80.0
家用电器及半导体产品,1,80.0,80.0,李东生,0.04,0.09,80.0
汽车服务,1,75.0,75.0,杨浩涌,0.04,0.09,75.0
电气机械和器材,1,75.0,75.0,马斌,0.04,0.09,75.0
母婴产品,1,75.0,75.0,李阔,0.04,0.09,75.0
房地产、酒店,1,75.0,75.0,吴宝田,0.04,0.09,75.0
电气机械和器材制造,1,75.0,75.0,张新,0.04,0.09,75.0
电子设备制造,1,75.0,75.0,佘英杰,0.04,0.09,75.0
文具、教育、房地产、金融,1,75.0,75.0,徐万茂,0.04,0.09,75.0
投资、地产,1,75.0,75.0,柯希平,0.04,0.09,75.0
软件和信息技术,1,75.0,75.0,刘伟,0.04,0.09,75.0
化学原料,1,75.0,75.0,王文洋,0.04,0.09,75.0
服装、房地产,1,75.0,75.0,杨钊,0.04,0.09,75.0
芯片研发,1,71.0,71.0,朱一明,0.03,0.09,71.0
光电子元器件,1,71.0,71.0,蔡荣军,0.03,0.09,71.0
耐用消费品,1,71.0,71.0,沈汉标,0.03,0.09,71.0
环保建筑,1,70.0,70.0,张跃,0.03,0.09,70.0
医药零售,1,70.0,70.0,高毅,0.03,0.09,70.0
变压器,1,70.0,70.0,李志远,0.03,0.09,70.0
钨矿,1,70.0,70.0,黄泽兰,0.03,0.09,70.0
供应链,1,70.0,70.0,周国辉,0.03,0.09,70.0
摩托车、房地产,1,70.0,70.0,左宗申,0.03,0.09,70.0
煤炭、热电、化工,1,70.0,70.0,乔玉华,0.03,0.09,70.0
石油专用设备,1,70.0,70.0,孙伟杰,0.03,0.09,70.0
电缆、房地产、医药,1,68.0,68.0,张德生,0.03,0.09,68.0
面粉,1,68.0,68.0,丹宏,0.03,0.09,68.0
机械配件,1,68.0,68.0,傅明康,0.03,0.09,68.0
汽车电子产品,1,67.0,67.0,柯桂华,0.03,0.09,67.0
农业、造纸、矿产,1,67.0,67.0,张华,0.03,0.09,67.0
招聘网站,1,66.0,66.0,赵鹏,0.03,0.09,66.0
房地产、园林,1,66.0,66.0,袁桂宝,0.03,0.09,66.0
智能交通,1,66.0,66.0,夏曙东,0.03,0.09,66.0
生物材料,1,65.0,65.0,刘修才,0.03,0.09,65.0
医药、房地产,1,65.0,65.0,张思民,0.03,0.09,65.0
石材、房地产,1,65.0,65.0,王文城,0.03,0.09,65.0
软件和信息技术服务业,1,65.0,65.0,刘庆峰,0.03,0.09,65.0
半导体材料,1,65.0,65.0,宗艳民,0.03,0.09,65.0
