胡润百富榜年份,排名,排名变化,财富(人民币/亿),财富(美元/百万),财富变化,个人信息_人物关系,个人信息_姓名_中文,个人信息_姓名_英文,个人信息_性别,个人信息_年龄,个人信息_照片URL,个人信息_籍贯_中文,个人信息_籍贯_英文,个人信息_出生地_中文,个人信息_出生地_英文,个人信息_常住地_中文,个人信息_常住地_英文,个人信息_教育程度_中文,个人信息_教育程度_英文,个人信息_毕业院校,个人信息_专业_中文,个人信息_专业_英文,企业信息_公司名称_中文,企业信息_公司名称_英文,企业信息_公司总部_中文,企业信息_公司总部_英文,企业信息_行业_中文,企业信息_行业_英文
2024,62,17,610.0,8590.0,22%,个人,岑均达,Cen Junda,男,未知,https://res.hurun.net/default/icon_men.jpg,,,,,中国-江苏-连云港,China-Jiangsu-Lianyun Port,,,未知,,,恒瑞、翰森,"Hengrui, Hansoh",江苏连云港,Jiangsu,医药,Pharmaceuticals
2024,63,-16,600.0,8450.0,-15%,父子,梁稳根,Liang Wengen,男,68,https://res.hurun.net/photo/000082_Liang_Wengen.jpg,中国-湖南-娄底,China-Hunan-Yandi,中国-湖南-娄底,China-Hunan-Yandi,中国-湖南-长沙,China-Hunan-Changsha,本科,Undergraduate,中南大学,,,三一,Sany,北京,Beijing,重型机械,Heavy Machinery
2024,63,12,600.0,8450.0,9%,夫妇,王玉锁,Wang Yusuo,男,60,https://res.hurun.net/photo/000037_Wang_Yusuo.jpg,中国-河北-廊坊,China-Hebei-Langfang,中国-河北-廊坊,China-Hebei-Langfang,中国-河北-廊坊,China-Hebei-Langfang,硕士,Master s,人大、天津财经,,,新奥,ENN,河北廊坊,Hebei,天然气、能源化工,"Gas, Energy"
2024,65,12,590.0,8310.0,11%,夫妇,陈天桥,Chen Tianqiao,男,51,https://res.hurun.net/photo/000065_Chen_Tianqiao.jpg,中国-浙江-绍兴,China-Zhejiang-Shaoxing,中国-浙江-绍兴,China-Zhejiang-Shaoxing,新加坡,China-Singapore-Po,本科,Undergraduate,复旦大学,,,盛大,Shanda,上海浦东,Shanghai,投资,Investments
2024,65,-18,590.0,8310.0,-17%,个人,汪俊林,Wang Junlin,男,62,https://res.hurun.net/default/icon_men.jpg,中国-四川-眉山,China-Sichuan-Meishan,中国-四川-眉山,China - Sichuan - Meishan,中国-四川-成都,China - Sichuan-Chengdu,本科,Undergraduate,泸州医学院（西南医科大学）,,,郎酒,Langjiu,四川成都,Sichuan,白酒,Liquor
2024,67,6,575.0,8100.0,1%,个人,杜双华,Du Shuanghua,男,59,https://res.hurun.net/default/icon_men.jpg,中国-河北-衡水,China-Hebei-Hengshui,中国-河北-衡水,China-Hebei-Hengshui,中国-山东-日照,China -Shandong - Rizhao,,,未知,,,日照钢铁,Rizhao Iron and Steel,山东日照,Shandong,钢铁,Steel
2024,68,3,550.0,7750.0,-5%,个人,陈丽华,Chen Lihua,女,83,https://res.hurun.net/default/icon_women.jpg,中国-北京,China-Beijing,中国-北京,China-Beijing,中国-北京,China-Beijing,博士,Doctorate,美国佐治亚州萨凡那艺术设计学院荣誉博士,,,富华,Fu Wah,北京,Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum"
2024,68,-15,550.0,7750.0,-19%,个人,李水荣,Li Shuirong,男,68,https://res.hurun.net/photo/000073_Li_Shuirong.jpg,,,中国-浙江,China-Zhejiang,中国-浙江-杭州,China-Zhejiang-Hangzhou,,,未知,,,荣盛控股,RongSheng,浙江杭州,Zhejiang,化纤,Chemical Fibres
2024,70,-25,540.0,7610.0,-28%,夫妇,张勇,Zhang Yong,男,53,https://res.hurun.net/photo/000011_Zhang_Yong.jpg,,,中国-四川-成都,China - Sichuan-Chengdu,新加坡,Singapore,,,未知,,,海底捞,HaiDiLao,北京,Beijing,餐饮,Restaurants
2024,71,-32,525.0,7390.0,-36%,夫妇,李彦宏,Li Yanhong,男,56,https://res.hurun.net/photo/000035_Li_Yanhong.jpg,中国-河北-邢台,China-Hebei-Yantai,中国-山西-阳泉,China -Shanxi - Yangquan,中国-北京,China-Beijing,硕士,Master s,北大、布法罗纽约州立,,,百度,Baidu,北京,Beijing,网络信息服务,Internet Information Services
