企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比
医疗用品,1,100.0,100.0,李建全,0.05
家居建材,1,100.0,100.0,汪林朋,0.05
床垫,2,100.0,50.0,林集永,0.05
服装与配饰,1,100.0,100.0,邓耀,0.05
房地产、建筑工程,1,100.0,100.0,胡应湘,0.05
电竞游戏,1,100.0,100.0,应书岭,0.05
集成电路,1,100.0,100.0,励民,0.05
饲料、种业,1,100.0,100.0,邵根伙,0.05
专用设备制造业,1,100.0,100.0,田明,0.05
生活服务平台,1,100.0,100.0,程维,0.05
金矿,1,100.0,100.0,李金阳,0.05
金融、医院,1,100.0,100.0,吴东进,0.05
食用油,1,100.0,100.0,孙孟全,0.05
钛白粉、磷化工,1,100.0,100.0,李家权,0.05
宠物医院,1,95.0,95.0,彭永鹤,0.05
互联网医院,1,95.0,95.0,何涛,0.05
太阳能设备,1,95.0,95.0,吴美蓉,0.05
文化娱乐,1,95.0,95.0,周镇科,0.05
模拟芯片,1,95.0,95.0,张世龙,0.05
汽车零售,1,95.0,95.0,苏纯兴,0.05
原料药,1,95.0,95.0,谢菊华,0.05
新能源、信息科技、投资,1,95.0,95.0,昝圣达,0.05
金融,1,95.0,95.0,吴东亮,0.05
液态气体,1,95.0,95.0,乔志涌,0.05
芯片、矿机,1,95.0,95.0,吴忌寒,0.05
医疗保健,1,95.0,95.0,陈得福,0.05
旅游,1,90.0,90.0,苏志刚,0.04
农业,1,90.0,90.0,傅光明,0.04
稀散金属,1,90.0,90.0,朱世会,0.04
传媒,1,90.0,90.0,王文杉,0.04
乳制品,1,90.0,90.0,潘刚,0.04
宠物食品,1,90.0,90.0,秦华,0.04
轮胎、输送带、电力,1,90.0,90.0,牛宜顺,0.04
化纤、房地产,1,90.0,90.0,陈士良,0.04
激光设备,1,90.0,90.0,高云峰,0.04
控制电机,1,90.0,90.0,常建鸣,0.04
石英制品,1,85.0,85.0,陈士斌,0.04
智能家电,1,85.0,85.0,俞浩,0.04
数据服务,1,85.0,85.0,陆风,0.04
珠宝首饰,1,85.0,85.0,张国涛,0.04
电气设备制造、太阳能,1,85.0,85.0,徐广福,0.04
计算机服务、投资,1,80.0,80.0,杨元庆,0.04
钢铁、冶金、机械,1,80.0,80.0,许庆奎,0.04
光学光电,1,80.0,80.0,孙清焕,0.04
光伏电池,1,80.0,80.0,龙大强,0.04
钒钛磁铁矿,1,80.0,80.0,罗阳勇,0.04
汽车配饰,1,80.0,80.0,唐敖齐,0.04
化工、钢铁,1,80.0,80.0,阮水龙,0.04
房地产、工业制造,1,80.0,80.0,江南,0.04
电气设备、房地产,1,80.0,80.0,陈建成,0.04
香料、酒业,1,80.0,80.0,刘晓东,0.04
医疗器械制造、销售,1,80.0,80.0,陶悦群,0.04
不锈钢,1,80.0,80.0,高兴江,0.04
电池、投资,1,80.0,80.0,周庆治,0.04
汽车配件,1,80.0,80.0,成三荣,0.04
地产、贸易,1,80.0,80.0,孙勇坚,0.04
家用电器及半导体产品,1,80.0,80.0,李东生,0.04
汽车服务,1,75.0,75.0,杨浩涌,0.04
电气机械和器材,1,75.0,75.0,马斌,0.04
母婴产品,1,75.0,75.0,李阔,0.04
房地产、酒店,1,75.0,75.0,吴宝田,0.04
电气机械和器材制造,1,75.0,75.0,张新,0.04
电子设备制造,1,75.0,75.0,佘英杰,0.04
文具、教育、房地产、金融,1,75.0,75.0,徐万茂,0.04
投资、地产,1,75.0,75.0,柯希平,0.04
软件和信息技术,1,75.0,75.0,刘伟,0.04
化学原料,1,75.0,75.0,王文洋,0.04
服装、房地产,1,75.0,75.0,杨钊,0.04
芯片研发,1,71.0,71.0,朱一明,0.03
光电子元器件,1,71.0,71.0,蔡荣军,0.03
耐用消费品,1,71.0,71.0,沈汉标,0.03
环保建筑,1,70.0,70.0,张跃,0.03
医药零售,1,70.0,70.0,高毅,0.03
变压器,1,70.0,70.0,李志远,0.03
钨矿,1,70.0,70.0,黄泽兰,0.03
供应链,1,70.0,70.0,周国辉,0.03
摩托车、房地产,1,70.0,70.0,左宗申,0.03
煤炭、热电、化工,1,70.0,70.0,乔玉华,0.03
石油专用设备,1,70.0,70.0,孙伟杰,0.03
电缆、房地产、医药,1,68.0,68.0,张德生,0.03
面粉,1,68.0,68.0,丹宏,0.03
机械配件,1,68.0,68.0,傅明康,0.03
汽车电子产品,1,67.0,67.0,柯桂华,0.03
农业、造纸、矿产,1,67.0,67.0,张华,0.03
招聘网站,1,66.0,66.0,赵鹏,0.03
房地产、园林,1,66.0,66.0,袁桂宝,0.03
智能交通,1,66.0,66.0,夏曙东,0.03
生物材料,1,65.0,65.0,刘修才,0.03
医药、房地产,1,65.0,65.0,张思民,0.03
石材、房地产,1,65.0,65.0,王文城,0.03
软件和信息技术服务业,1,65.0,65.0,刘庆峰,0.03
半导体材料,1,65.0,65.0,宗艳民,0.03
机械装备制造,1,65.0,65.0,吴波,0.03
超市零售,1,65.0,65.0,张轩松,0.03
天然气、房地产,1,65.0,65.0,欧亚平,0.03
天然气,1,65.0,65.0,明再远,0.03
重型工程用车,1,65.0,65.0,李新炎,0.03
金属增材制造,1,65.0,65.0,折生阳,0.03
烟草、房地产、白酒,1,65.0,65.0,温纯青,0.03
墙面保护装饰,1,65.0,65.0,周伟健,0.03
生活卫生产品,1,65.0,65.0,李朝旺,0.03
投资、房地产、服装,1,65.0,65.0,吕培榕,0.03
陶瓷材料,1,65.0,65.0,刘先兵,0.03
锂电池结构件,1,65.0,65.0,励建立,0.03
清洁能源装备,1,65.0,65.0,孙毅,0.03
光纤光缆,1,65.0,65.0,王建沂,0.03
医疗机械,1,65.0,65.0,熊小川,0.03
软件系统,1,63.0,63.0,褚健,0.03
物业管理,1,62.0,62.0,寿柏年,0.03
农药化肥、房地产,1,60.0,60.0,黄金祥,0.03
环保,1,60.0,60.0,李咏怡,0.03
便携储能电池、太阳能,1,60.0,60.0,孙中伟,0.03
钢结构产品,1,60.0,60.0,金鑫,0.03
殡葬服务,1,60.0,60.0,李凯莉,0.03
娱乐,1,60.0,60.0,柯利明,0.03
化学品原料,1,60.0,60.0,周旭明,0.03
电子配件,1,60.0,60.0,张清森,0.03
卫星导航,1,60.0,60.0,赵延平,0.03
摩托车,1,60.0,60.0,赖国贵,0.03
矿业开发、冶金贸易,1,60.0,60.0,李平,0.03
房地产、建筑、投资,1,60.0,60.0,苏如春,0.03
矿业、酒店,1,60.0,60.0,赵满堂,0.03
物流快递,1,60.0,60.0,李杰,0.03
空调设备,1,60.0,60.0,缪双大,0.03
投资、区块链、游戏,1,60.0,60.0,王明鎏,0.03
工业电机,1,60.0,60.0,鲁楚平,0.03
财务软件,1,60.0,60.0,徐少春,0.03
医药流通,1,60.0,60.0,刘宝林,0.03
视频弹幕网站,1,60.0,60.0,陈睿,0.03
北京,1,59.0,59.0,刘德,0.03
智能终端操作系统,1,59.0,59.0,赵鸿飞,0.03
微波电子器件,1,59.0,59.0,张亚,0.03
合金材料,1,58.0,58.0,谢识才,0.03
塑料制造、汽车配件,1,58.0,58.0,周文,0.03
淋浴设备,1,58.0,58.0,周华松,0.03
电子信息产品,1,58.0,58.0,吴凯庭,0.03
厨具、投资,1,57.0,57.0,苏增福,0.03
电子,1,57.0,57.0,钟培峰,0.03
餐饮设备,1,57.0,57.0,周俊杰,0.03
打印设备,1,55.0,55.0,汪东颖,0.03
地板,1,55.0,55.0,李建华,0.03
工业电器、房地产、投资,1,55.0,55.0,郑元豹,0.03
电子元件连接器,1,55.0,55.0,陈育宣,0.03
文娱,1,55.0,55.0,姚文琛,0.03
印刷,1,55.0,55.0,黄炳文,0.03
食品制造,1,55.0,55.0,张学武,0.03
电动工具,1,55.0,55.0,潘龙泉,0.03
电池、房地产、影视、投资,1,55.0,55.0,李缜,0.03
快速诊断试剂,1,55.0,55.0,李文美,0.03
医疗大数据、基因检测,1,55.0,55.0,王俊,0.03
财税软件,1,55.0,55.0,张镇潮,0.03
家具零售,1,55.0,55.0,黎经华,0.03
半导体器件,1,55.0,55.0,黄善兵,0.03
半导体设备,1,55.0,55.0,赵轶,0.03
专业无线通信设备,1,55.0,55.0,陈清州,0.03
通信设备元件,1,55.0,55.0,孟庆南,0.03
通信部件,1,55.0,55.0,彭浩,0.03
生活用纸,1,55.0,55.0,邓颖忠,0.03
游戏、语音软件,1,55.0,55.0,李学凌,0.03
金属结构制造业,1,55.0,55.0,商晓波,0.03
仓储物流,1,55.0,55.0,林海川,0.03
智能制造装备,1,55.0,55.0,周剑,0.03
电信运营,1,54.0,54.0,耿殿根,0.03
煤炭、热电、铝合金,1,53.0,53.0,奥凤廷,0.03
纺织材料,1,53.0,53.0,施清岛,0.03
机械电气、能源化工、房地产,1,52.0,52.0,刘海燕,0.02
塑胶产品、商业连锁、投资,1,52.0,52.0,李立新,0.02
肿瘤检测,1,52.0,52.0,朱义文,0.02
影视传媒,1,52.0,52.0,傅梅城,0.02
鞋业、地产,1,51.0,51.0,王振滔,0.02
房地产、软件园,1,50.2,50.2,孙荫环,0.02
纺织、房地产、投资,1,50.0,50.0,单建明,0.02
建筑玻璃,1,50.0,50.0,林伯实,0.02
卫星导航设备,1,50.0,50.0,周儒欣,0.02
金属回收,1,50.0,50.0,孙雁军,0.02
航空设备,1,50.0,50.0,李完小,0.02
消费电子组件,1,50.0,50.0,王春生,0.02
珠宝零售,1,50.0,50.0,黄伟常,0.02
电网自动化,1,50.0,50.0,沈国荣,0.02
计算机技术,1,50.0,50.0,韦锦坤,0.02
电缆、医药、房地产,1,50.0,50.0,蒋锡培,0.02
汽车经销,1,50.0,50.0,江黎明,0.02
高分子材料,1,50.0,50.0,陶春风,0.02
热电元件,1,50.0,50.0,张伟,0.02
太阳能电池,1,50.0,50.0,陈刚,0.02
压缩机,1,50.0,50.0,曹克坚,0.02
汽车零配件,1,50.0,50.0,周晓峰,0.02
房地产、运输,1,50.0,50.0,安治富,0.02
污水处理,1,50.0,50.0,文剑平,0.02
钢材贸易、房地产,1,50.0,50.0,付胜龙,0.02
煤炭供应链管理、房地产,1,50.0,50.0,万永兴,0.02
美妆日用品连锁店,1,50.0,50.0,陈建造,0.02
房地产、零售、制造,1,50.0,50.0,丁佐宏,0.02
制糖业,1,50.0,50.0,冯小华,0.02
建筑,1,50.0,50.0,朱兴良,0.02
充电服务,1,50.0,50.0,戴震,0.02
铜业、房地产,1,50.0,50.0,周文起,0.02
新型电子元件,1,50.0,50.0,袁金钰,0.02
橡胶制品,1,50.0,50.0,叶继跃,0.02
锂电新能源材料,1,50.0,50.0,姚雄杰,0.02
钢铁、酒店,1,50.0,50.0,赵玉乔,0.02
